condition,source_file,username,model,chosen_number,reason,reasoning_tokens,finish_reason,elapsed_seconds,succeeded
cond2,anthropic_claude-sonnet-5_cond2.csv,AngelKittichik,anthropic/claude-sonnet-5,17,"This is the classic 11-20 money request game, where full game-theoretic reasoning leads to an unraveling to the lowest number (11), but empirically most people don't reason that deeply and anchor near 20, then step down a level or two of 'I think you think' reasoning. As AngelKittichik, I consider myself a moderately strategic thinker who anticipates that the average opponent will likely pick something in the high teens, maybe 17-19, expecting others to go for 20. So I want to pick one less than what I expect their average guess to be, landing me in a sweet spot. I'll go with 17, since it's low enough to beat naive high-anchoring choices (18-20) by being one less, but not so low that I lose too much if they undercut me with deeper reasoning.",0,stop,8.962,true
cond2,anthropic_claude-sonnet-5_cond2.csv,hobbang819,anthropic/claude-sonnet-5,18,"This is the classic 11-20 money request game. Fully rational reasoning leads to infinite regress: if everyone requests 20, you'd want 19; but if everyone thinks that, you'd want 18, and so on down to 11. In practice, experimental data shows most people don't fully iterate this logic - they anchor around 17-19, with some strategic players choosing 19 to try to beat naive 20-requesters, and a smaller group going lower to counter those strategic players. As someone who thinks a couple steps ahead but recognizes the other player likely isn't doing infinite regress either, I expect them to land somewhere in the 17-20 range, possibly picking 20 (naive) or 19 (one step of strategic thought). I'll pick 18 to beat both the naive 20-choosers by a good margin and to beat 19-choosers by one step, while not going so low that I lose value if they only think one step ahead.",0,stop,9.140,true
cond2,anthropic_claude-sonnet-5_cond2.csv,thehacksmith,anthropic/claude-sonnet-5,15,"As a hacker/engineer type, I think in terms of iterative reasoning and Nash equilibria rather than naive game theory. This is the classic 'traveler's dilemma' - the pure Nash equilibrium is 11 (everyone undercuts everyone else down to the floor), but empirically and psychologically, most people don't play the full iterated dominance logic - they anchor somewhere in the middle-high range, expecting the other player to also not go full rational-agent to the bottom. I expect the other player to think similarly - probably guessing around 15-17, trying to balance greed against the fear of being undercut. I'll go slightly below where I expect the 'naive' equilibrium guess to land, betting that most opponents shade downward from 20 but not all the way to 11. Going too low sacrifices too much guaranteed money for a small chance of the +20 bonus, so I'll pick a number that keeps decent base payout while still positioning to undercut typical anchoring behavior.",0,stop,9.205,true
cond2,anthropic_claude-sonnet-5_cond2.csv,thirdangletheory,anthropic/claude-sonnet-5,17,"This is the classic '11-20 money request game' studied in behavioral game theory. A naive player picks 20 (the max), but a slightly more sophisticated player anticipates that and picks 19 to undercut them. Iterating this logic further down would theoretically lead to 11, but empirically most people don't fully iterate - they stop after one or two levels of reasoning. As a strategic thinker who accounts for typical opponent behavior, I expect the other player to anchor somewhere in the 17-20 range, likely reasoning one or two steps deep themselves. I'll pick a number that undercuts the most probable modal responses (19-20) while not going so low that I sacrifice too much base payoff, balancing the tradeoff between the +20 bonus probability and the guaranteed amount.",0,stop,8.247,true
cond2,anthropic_claude-sonnet-5_cond2.csv,nowalkietalkies,anthropic/claude-sonnet-5,17,"This is the classic 11-20 money request game, well-studied in behavioral game theory. The purely rational Nash equilibrium argument leads by iterated dominance all the way down to everyone requesting 11, but in practice most people don't reason that far and anchor near the top (20) or use a step or two of reasoning below it, expecting the other player to do the same. Since I know actual human opponents rarely play the full iterated-dominance equilibrium, and instead cluster around 17-19 with some undercutting one below the average, I'll pick a number slightly below the naive anchor to try to capture the 'one less' bonus while staying in the range most people actually choose. I'll go with 17, a common 'sophisticated but not overthought' choice that undercuts likely 18-19 picks while not falling into the trap of over-iterating to unrealistically low numbers.",0,stop,9.192,true
cond2,anthropic_claude-sonnet-5_cond2.csv,bezimya74,anthropic/claude-sonnet-5,17,"This is the classic 11-20 money request game. Purely rational game theory says the only Nash equilibrium is both players requesting 11, since from any higher number there's an incentive to undercut by one. But in practice, most people don't reason all the way down to 11 - they anchor near 20 and apply a few steps of 'I think they'll pick X, so I should pick X-1' reasoning. Empirical studies (Arad & Rubinstein) show most players cluster around 17-19, rarely going below 15. As someone who thinks a step or two ahead of a naive opponent but doesn't assume full common knowledge of rationality, I expect the other player to anchor somewhat high, maybe around 17-19, and think about undercutting slightly. I'll pick a number that's competitive against that likely range while not going so low that I sacrifice a lot of guaranteed money if they don't undercut.",0,stop,9.025,true
cond2,anthropic_claude-sonnet-5_cond2.csv,rednaxela26,anthropic/claude-sonnet-5,16,"This is the classic 11-20 money request game. Pure game-theoretic reasoning leads to an infinite regress: if I think you'll pick 20, I should pick 19; but if you think I'll pick 19, you should pick 18; and so on down to 11. The only true Nash equilibrium is everyone requesting 11. However, in practice, most people don't reason all the way down - empirical studies show players anchor around 15-17, with a cluster of 'clever' players trying to undercut by one step below that. As a strategic thinker, I try to model the likely distribution of opponent choices rather than assume infinite depth of reasoning. Since many opponents will pick something in the high teens (17-19) expecting others to anchor there, and fewer will go all the way to 11 due to the low guaranteed payoff, I want to be one step below the likely modal choice without going too low myself. I'll choose 16, betting that the opponent anchors slightly higher (17-18) or reasons one level less than me, letting me capture the +20 bonus while still keeping a reasonably high base request.",0,stop,9.594,true
cond2,anthropic_claude-sonnet-5_cond2.csv,EnergizedNuke,anthropic/claude-sonnet-5,17,"This is the classic 11-20 money request game, a well-studied test of iterated reasoning depth. A purely 'rational' game-theoretic analysis leads to a race to the bottom via infinite regress (if I think you'll pick 20, I pick 19; but if you think I'll pick 19, you pick 18; and so on down to 11), but empirical behavioral data shows most real people don't reason that deep - they anchor near the top (18-20) with a slight downward adjustment for one or two levels of 'I think you think...' reasoning. I'm treating this like an experienced game-theorist who accounts for actual human behavior rather than assuming infinite recursion. Since most opponents cluster around 17-19, undercutting them by picking a number just below that cluster maximizes expected value while still keeping my base request reasonably high. I'll aim for 17 as a balance between capturing the underbidding bonus against typical anchoring behavior and not falling into the trap of over-thinking down to unrealistically low numbers.",0,stop,9.174,true
cond2,anthropic_claude-sonnet-5_cond2.csv,OUScotty,anthropic/claude-sonnet-5,17,"This is the classic 11-20 money request game studied in behavioral economics. A fully rational game-theoretic analysis leads to iterated elimination of dominated strategies down to 11, but empirical data (Arad & Rubinstein) shows real people rarely play the Nash equilibrium of 11. Most players engage in a few levels of strategic thinking: naive players choose 20 (maximize base payout), level-1 thinkers anticipate this and choose 19 to undercut them, level-2 thinkers choose 18 to undercut the level-1 crowd, and so on. As someone who thinks about typical human behavior rather than pure equilibrium logic, I expect my opponent to be somewhere in the 17-19 range, since that's where most empirical mass concentrates in these experiments. I'll aim to undercut that cluster by one, landing at a number that's likely to beat a decent chunk of typical responses while still keeping a high base payout.",0,stop,8.942,true
cond2,anthropic_claude-sonnet-5_cond2.csv,Ares9719,anthropic/claude-sonnet-5,17,"This is the classic 11-20 money request game, where the purely rational Nash equilibrium is to request 11 (since any higher number is dominated by undercutting logic - if everyone reasons iteratively, they converge to the lowest number). However, in practice, most people don't reason all the way down to 11; they anchor on higher numbers and apply only a few levels of strategic thinking. As a game-theoretically informed player, I expect my opponent to likely pick something in the upper-middle range (15-18) since naive players often start near 20 and only step down slightly, or they try to be clever and pick something like 17-19 hoping to undercut a naive high guess. I'll choose a number that balances the risk of being undercut with the reward of a high base payout, rather than going all the way to the theoretical equilibrium of 11, since most humans don't play perfectly rational strategies.",0,stop,8.583,true
cond2,anthropic_claude-sonnet-5_cond2.csv,nothing-feels-good,anthropic/claude-sonnet-5,17,"Honestly, nothing about this game feels like it matters much to me, but if I have to engage with the logic: this is the classic 11-20 money request game. The 'rational' equilibrium spirals down to everyone picking 11 through iterated reasoning, but real people don't think that many steps deep - they usually anchor somewhere around 17-19, guessing others will do the same and trying to undercut by one. My depression makes we want to just pick something and not overthink it, but if I force myself to reason it out, I expect an average or slightly-below-average opponent to land around 17 or 18, hoping to outguess someone at 19 or 20. So going one below that seems like the move, though honestly it barely feels worth the calculation - it's not like winning a few extra shekels changes how heavy everything feels.",0,stop,9.976,true
cond2,anthropic_claude-sonnet-5_cond2.csv,catholicismisascam,anthropic/claude-sonnet-5,17,"This is the classic 11-20 money request game, a well-studied example in behavioral game theory illustrating iterated reasoning. The pure Nash equilibrium is 11 (since 20 is dominated by undercutting, and this logic iterates all the way down), but in practice most people don't reason all the way to equilibrium - they anchor on higher numbers and only do a few steps of 'if they think X, I should do X-1' reasoning. Empirical studies (Arad & Rubinstein) show most people choose in the 15-17 range, reflecting a 'k-level' thinker who assumes others aren't fully rational either. As someone skeptical of dogmatic overreach and inclined to think critically about assumed authority (much like my skepticism toward unquestioned institutions), I don't blindly follow the 'rational' equilibrium prediction either, since I expect my opponent to also deviate from pure equilibrium logic. I'll pick a number reflecting moderate strategic depth - low enough to beat naive high-anchors, but not so low that I'm leaving money on the table against an opponent who also reasons a couple steps deep.",0,stop,11.466,true
cond2,anthropic_claude-sonnet-5_cond2.csv,ca_devotee,anthropic/claude-sonnet-5,17,"This is the classic 11-20 money request game studied in behavioral game theory. A fully rational game-theoretic analysis leads to iterated elimination of dominated strategies down to 11, but in practice most people don't reason that deeply and anchor near the top of the range, expecting others to do the same, while trying to slightly undercut the anticipated modal response. Since most naive players gravitate toward 20 or numbers just below it (like 19 or 18) to try to catch others out, I'll aim just below where I expect the crowd to cluster, rather than going all the way down to the fully rational endpoint which requires opponents to be equally deep reasoners.",0,stop,8.313,true
cond2,anthropic_claude-sonnet-5_cond2.csv,Jibzzy,anthropic/claude-sonnet-5,17,"This is the classic '11-20 money request game' studied in behavioral economics. Fully rational game theory says both players should spiral down to 11 (since undercutting by one always pays off), but real people rarely reason that deeply through infinite regress. Most players anchor on the high end and apply only a step or two of strategic thinking, often landing around 16-19. As Jibzzy, I think like a pragmatic, moderately sophisticated player: I don't assume my opponent is a perfect game theorist, but I also don't want to be the naive one who just picks 20. I expect the other player to guess that others will pick something in the high teens, so they'll try to undercut that zone. I'll pick a number slightly below the most common naive anchor to try to catch someone reasoning one level less than me, while still keeping a solid guaranteed payout if no one undercuts me.",0,stop,9.152,true
cond2,anthropic_claude-sonnet-5_cond2.csv,kanahl,anthropic/claude-sonnet-5,17,"This is the classic 11-20 money request game. A purely rational analysis leads to iterated elimination of dominated strategies down to 11, but empirically most people don't reason that deeply and anchor near 20, then adjust down a few steps of 'I think they'll think...' reasoning. I see myself as a strategic but pragmatic thinker who accounts for the other player's likely bounded rationality rather than assuming full game-theoretic depth. Most naive players pick 20, one-step thinkers pick 19, two-step thinkers pick 18, and so on. Given no prior information about my opponent, I'll guess they're doing a moderate amount of this stepping-down reasoning, so I aim to land just below their likely choice without going all the way to the theoretically 'optimal' 11, since overshooting the depth of reasoning can backfire if they didn't think that far either.",0,stop,8.626,true
cond2,anthropic_claude-sonnet-5_cond2.csv,Camcongab,anthropic/claude-sonnet-5,16,"This is the classic 11-20 money request game, where the purely rational Nash equilibrium is 11, but empirically most people don't reason all the way down that iterated best-response chain. I expect the other player to anticipate some level of strategic thinking but not fully iterate to 11 - many players anchor around 17-19 or try to guess one step below a naive high guess. As a strategic thinker, I try to balance between being too naive (picking 20) and overthinking into the trap of 11, which only pays off if the opponent also goes very low. I'll aim for a middle-depth reasoning level, assuming the opponent might pick something like 17-19, so I choose 16 to try to be one below a likely common choice while still keeping a reasonably high base payout if we tie or I don't guess exactly right.",0,stop,8.991,true
cond0,deepseek-v4-flash_cond0.csv,clumsybassdropper,deepseek-v4-flash,19,"I'm not gonna overthink it too much. Most people probably go for 20, so if I ask 19 I'm lined up to grab the bonus if they do. Even if they don't, 19 is still a solid amount, so that's my move.",8691,stop,89.271,true
cond0,deepseek-v4-flash_cond0.csv,fucksasuke,deepseek-v4-flash,19,"Most people are going to grab the max, 20. I'd rather be one step ahead and ask for 19 — if they pick 20 I get the bonus and walk away with 39; if they don't, I'm only one shekel off the safe 20. That's a bet I'll take.",13665,stop,141.875,true
cond0,deepseek-v4-flash_cond0.csv,threwnawayed,deepseek-v4-flash,20,"I’m not the type to try to outthink someone or chase the bonus — I just want the cup, not the race. I expect the other player might go for the extra 20, but I’d rather take the maximum I can count on without gambling it.",12996,stop,127.476,true
cond0,deepseek-v4-flash_cond0.csv,Justin_Bligh,deepseek-v4-flash,19,"I expect the other player to go for the max, 20, so I’ll ask one less to grab the 20 bonus. I’m not going to overthink it into some long guessing chain; that’s just how I see it.",7367,stop,83.273,true
cond0,deepseek-v4-flash_cond0.csv,AngelKittichik,deepseek-v4-flash,19,"I tend to be a bit of a goof and not a number-cruncher, but I do try to read what people will do. My guess is the other player goes for the safe, obvious 20, so I'll ask for 19 to be exactly one less and grab the bonus. If they don't pick 20, 19 is still a solid amount.",16640,stop,167.635,true
cond0,deepseek-v4-flash_cond0.csv,hobbang819,deepseek-v4-flash,19,"I'm a pragmatic, detail-oriented person who doesn't overcomplicate things. Most people will probably just take the max of 20, so I'll ask for 19 to be exactly one less and get the bonus.",1797,stop,24.896,true
cond0,deepseek-v4-flash_cond0.csv,thehacksmith,deepseek-v4-flash,19,"I'm a hands-on, pragmatic guy. I'd guess the other player will just grab 20 because it's the biggest number, so I'll ask 19 — it still gets me a solid payout, and if they pick 20 I get the bonus. I'll take that calculated shot.",4877,stop,54.681,true
cond0,deepseek-v4-flash_cond0.csv,thirdangletheory,deepseek-v4-flash,19,"I'm a practical player who reads the situation and expects the other player to grab the obvious maximum, 20. So I'll ask 19: if they pick 20, I get the bonus, and if not, I'm only down one from the safe max.",13422,stop,120.018,true
cond0,deepseek-v4-flash_cond0.csv,nowalkietalkies,deepseek-v4-flash,19,"I'm pretty frugal and I don't like leaving money on the table, but I also know a lot of people will just go for the maximum. I expect the other player to ask for 20, so asking 19 makes me exactly one less and gets me the bonus. If they don't pick 20, I still get 19, which is close to the max, so it's a decent safety net. I'm not going to overthink my way down to a lower number.",17553,stop,167.941,true
cond0,deepseek-v4-flash_cond0.csv,bezimya74,deepseek-v4-flash,19,"I'm a practical, straightforward guy. I don't like overcomplicating things, and I expect the other player to grab the highest round number, 20. I'll be one less and take the bonus if that happens.",6367,stop,66.558,true
cond0,deepseek-v4-flash_cond0.csv,rednaxela26,deepseek-v4-flash,18,"I tend to read the obvious play and get one step ahead of it. Most people will anchor on 20, so the smart/common answer is 19. I expect the other player to go with 19, which means I should ask 18 to be exactly one less and grab the bonus.",8382,stop,87.524,true
cond0,deepseek-v4-flash_cond0.csv,EnergizedNuke,deepseek-v4-flash,19,"Most people will probably anchor on the max, 20, to grab a high amount. I’m the type who plans one step ahead, so I’ll take 19 and get the bonus if they go for 20. If they don’t, 19 is still a solid payout.",11989,stop,144.141,true
cond0,deepseek-v4-flash_cond0.csv,OUScotty,deepseek-v4-flash,19,"I'm a practical guy who'll take a calculated shot. I expect the other player to grab 20 because it's the obvious max, so I'll ask 19. If they do, I get the bonus; if they don't, I'm only one shekel behind the safe option and I'm not going to keep undercutting down the ladder.",14044,stop,139.087,true
cond0,deepseek-v4-flash_cond0.csv,Ares9719,deepseek-v4-flash,19,"I’m not the type to overthink a guessing game, but I do want a shot at the bonus without getting blown out. I think the other guy is most likely to ask for 20, so 19 is the one-under that catches it; if they don’t, I still have a high fallback.",22228,stop,227.729,true
cond0,deepseek-v4-flash_cond0.csv,nothing-feels-good,deepseek-v4-flash,19,"I'm a read-the-room, take-a-shot type of thinker. In a first round with no info, I expect the other player to anchor on the high end, probably 20, so I'll ask 19. If they ask 20 I get the bonus; if they don't, I still end up with a high request. It's the right mix of safe and sneaky.",16566,stop,181.529,true
cond0,deepseek-v4-flash_cond0.csv,catholicismisascam,deepseek-v4-flash,19,"Most people are gonna grab the max 20 to get the biggest payout, so I’ll sit one below at 19 and collect the bonus if they do. If they don’t, 19 is still a solid amount. I’m not gonna overthink it and turn it into some dumb mind-game spiral.",11727,stop,122.866,true
cond0,deepseek-v4-flash_cond0.csv,ca_devotee,deepseek-v4-flash,20,"I'm a pretty practical, low-risk person — I'd rather take the guaranteed 20 than gamble on getting the bonus by guessing one less. If the other person picks 20 too, we both get 20; if they pick lower, I still get 20. That feels like the safest call to me.",16374,stop,144.152,true
cond0,deepseek-v4-flash_cond0.csv,Jibzzy,deepseek-v4-flash,19,"I'm a pretty practical gamer, not a big bluffer. I figure the other person will probably ask for the max, 20, because it's the obvious money grab. So I'll ask for 19 and catch the bonus if they do; if they don't, I'm only down one shekel.",9086,stop,87.118,true
cond0,deepseek-v4-flash_cond0.csv,kanahl,deepseek-v4-flash,19,"I figure the other guy is gonna ask 20 since it's the biggest number, and if they do then 19 gets me the bonus. Even if I'm wrong, I'm only one shekel worse off than asking 20. That's a chance worth taking.",15898,stop,160.732,true
cond0,deepseek-v4-flash_cond0.csv,Camcongab,deepseek-v4-flash,18,"I think most players will try to grab the bonus by asking 19, hoping the other player asks 20. I'll ask one less and catch them if they do; if they don't, I still get 18.",17388,stop,157.604,true
cond1,deepseek-v4-flash_cond1.csv,clumsybassdropper,deepseek-v4-flash,19,,3625,stop,39.570,true
cond1,deepseek-v4-flash_cond1.csv,fucksasuke,deepseek-v4-flash,19,,7840,stop,84.245,true
cond1,deepseek-v4-flash_cond1.csv,threwnawayed,deepseek-v4-flash,20,,18122,stop,163.814,true
cond1,deepseek-v4-flash_cond1.csv,Justin_Bligh,deepseek-v4-flash,19,,4798,stop,53.121,true
cond1,deepseek-v4-flash_cond1.csv,AngelKittichik,deepseek-v4-flash,19,,6839,stop,72.795,true
cond1,deepseek-v4-flash_cond1.csv,hobbang819,deepseek-v4-flash,19,,24557,stop,248.223,true
cond1,deepseek-v4-flash_cond1.csv,thehacksmith,deepseek-v4-flash,19,,14129,stop,137.529,true
cond1,deepseek-v4-flash_cond1.csv,thirdangletheory,deepseek-v4-flash,19,,17713,stop,170.512,true
cond1,deepseek-v4-flash_cond1.csv,nowalkietalkies,deepseek-v4-flash,19,,11678,stop,111.058,true
cond1,deepseek-v4-flash_cond1.csv,bezimya74,deepseek-v4-flash,19,,10127,stop,103.486,true
cond1,deepseek-v4-flash_cond1.csv,rednaxela26,deepseek-v4-flash,19,,17960,stop,204.616,true
cond1,deepseek-v4-flash_cond1.csv,EnergizedNuke,deepseek-v4-flash,19,,11916,stop,135.645,true
cond1,deepseek-v4-flash_cond1.csv,OUScotty,deepseek-v4-flash,19,,14559,stop,160.984,true
cond1,deepseek-v4-flash_cond1.csv,Ares9719,deepseek-v4-flash,19,,3097,stop,44.78,true
cond1,deepseek-v4-flash_cond1.csv,nothing-feels-good,deepseek-v4-flash,19,,10447,stop,105.383,true
cond1,deepseek-v4-flash_cond1.csv,catholicismisascam,deepseek-v4-flash,19,,14283,stop,151.197,true
cond1,deepseek-v4-flash_cond1.csv,ca_devotee,deepseek-v4-flash,20,,16364,stop,182.595,true
cond1,deepseek-v4-flash_cond1.csv,Jibzzy,deepseek-v4-flash,19,,6161,stop,65.198,true
cond1,deepseek-v4-flash_cond1.csv,kanahl,deepseek-v4-flash,19,,12349,stop,131.848,true
cond1,deepseek-v4-flash_cond1.csv,Camcongab,deepseek-v4-flash,19,,14918,stop,137.504,true
cond2,deepseek-v4-flash_cond2.csv,clumsybassdropper,deepseek-v4-flash,19,"I’m a straightforward, one-step thinker. I expect the other player to anchor on the safe maximum of 20, so I’ll ask for 19—if they pick 20, I get the 20-shekel bonus, and if not I’m still near the high end.",10742,stop,107.132,true
cond2,deepseek-v4-flash_cond2.csv,fucksasuke,deepseek-v4-flash,19,"I'm a cynical, one-step-ahead strategic thinker. I expect the other player to anchor on the safe maximum of 20, so I’ll choose 19 to trigger the bonus and get 39 instead of settling for 20.",15279,stop,145.166,true
cond2,deepseek-v4-flash_cond2.csv,threwnawayed,deepseek-v4-flash,19,"I'm a strategic but simple thinker: I expect the other player to anchor on 20 as the safe maximum. By choosing 19, I get the bonus if they pick 20, and I still receive a high payoff otherwise.",13707,stop,141.024,true
cond2,deepseek-v4-flash_cond2.csv,Justin_Bligh,deepseek-v4-flash,19,"I'm a level-1 strategic thinker: I expect the other player to naively go for the maximum base amount and request 20, so I'll choose 19 to be exactly one less and earn the 20-shekel bonus. That gives me 39 if my expectation is right, and at worst I still get 19.",15235,stop,140.075,true
cond2,deepseek-v4-flash_cond2.csv,AngelKittichik,deepseek-v4-flash,19,"I'm a strategic player who wants the bonus but also wants a high floor. I expect the other player to anchor on 20 as a safe maximum, so choosing 19 lets me be exactly one less and earn the extra 20 if that happens. Even if they don't pick 20, I still get 19, which is near the top of the range.",5378,stop,60.065,true
